,Unnamed: 0.1,Unnamed: 0,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method
0,0,0,19,Male,Freshman,Psychology,620.78,243.0,4703.69,561.53,234.43,97.42,148.9,32.47,61.78,106.13,100.58,57.02,Credit/Debit Card
1,1,1,24,Female,Junior,Economics,1327.92,962.5,7018.44,796.51,521.95,121.55,360.36,105.82,131.56,323.18,184.47,97.24,Credit/Debit Card
2,2,2,24,Male,Junior,Economics,792.72,835.2,3569.67,779.22,257.4,160.29,115.83,152.1,26.91,279.63,131.04,155.61,Mobile Payment App
3,3,3,23,Female,Senior,Computer Science,970.54,291.5,7165.62,946.7,419.63,165.53,323.8,143.75,43.56,236.68,152.46,79.86,Mobile Payment App
4,4,4,20,Female,Senior,Computer Science,1274.13,574.2,5643.92,1197.9,435.6,243.94,281.69,69.7,103.09,127.78,103.09,151.01,Credit/Debit Card
5,5,5,25,Female,Sophomore,Computer Science,673.1,869.0,3743.39,490.64,304.13,144.94,155.63,86.72,45.14,277.99,128.3,117.61,Mobile Payment App
6,6,6,23,Female,Freshman,Engineering,1429.82,75.9,4376.24,714.56,233.2,88.88,187.44,18.48,33.44,138.16,102.96,42.24,Credit/Debit Card
7,7,7,23,Female,Junior,Economics,832.92,822.8,5671.38,816.53,218.79,131.56,358.93,52.91,128.7,217.36,80.08,88.66,Mobile Payment App
8,8,8,22,Female,Senior,Computer Science,2205.35,272.8,8186.38,869.75,320.89,119.06,225.06,178.6,59.53,235.22,249.74,281.69,Credit/Debit Card
9,9,9,18,Female,Junior,Computer Science,2034.89,81.4,5249.64,826.32,328.68,154.44,162.36,67.32,97.68,320.76,44.88,258.72,Mobile Payment App
10,10,10,23,Male,Junior,Biology,548.64,553.5,4420.44,712.8,282.96,62.64,197.64,105.84,22.68,295.92,71.28,54.0,Credit/Debit Card
11,11,11,25,Male,Freshman,Engineering,922.75,17.1,3699.36,528.48,174.96,144.0,164.16,41.04,41.04,150.48,138.96,105.12,Credit/Debit Card
12,12,12,21,Male,Sophomore,Economics,698.87,486.0,5120.74,941.38,294.84,126.36,132.68,43.17,52.65,82.13,118.99,120.04,Credit/Debit Card
13,13,13,19,Female,Junior,Biology,1034.88,944.9,6865.32,826.32,308.88,66.0,361.68,26.4,101.64,165.0,262.68,135.96,Mobile Payment App
14,14,14,24,Female,Freshman,Economics,1579.78,82.5,6064.34,751.61,172.74,72.07,105.25,141.86,73.22,224.22,57.2,133.85,Cash
15,15,15,22,Female,Sophomore,Computer Science,1579.15,28.6,4959.9,1050.19,263.74,198.4,207.9,131.87,114.05,86.72,182.95,129.49,Mobile Payment App
16,16,16,23,Female,Freshman,Psychology,1123.85,260.7,5275.6,854.74,349.45,193.6,136.49,73.57,21.3,275.88,179.08,73.57,Mobile Payment App
17,17,17,21,Female,Freshman,Computer Science,1663.38,936.1,3736.13,796.22,184.8,116.16,198.53,34.85,25.34,52.8,78.14,48.58,Mobile Payment App
18,18,18,19,Female,Sophomore,Psychology,1324.92,342.1,4792.69,961.59,317.99,75.14,55.54,81.68,65.34,114.35,197.11,178.6,Credit/Debit Card
